module,status,category,sifr_module,coverage_estimate,recommended_phase,design_note
sched,missing,algorithmic_general,,0%,phase8-stdlib-expansion,General-purpose module with no fundamental language blocker; good candidate for future parity milestones.
secrets,implemented_partial,implemented,secrets,~40%,phase7-hardening,Implemented as sifr stdlib wrapper; parity is partial and still expanding.
select,missing,os_platform_ext,,0%,phase8-ffi-and-platform-wrappers,Requires platform-specific bindings or C-extension parity; better delivered through thin wrappers/FFI.
selectors,missing,async_concurrency,,0%,phase8-async-runtime,Depends on async/task runtime and concurrency primitives planned after stdlib parity.
shelve,missing,algorithmic_general,,0%,phase8-stdlib-expansion,General-purpose module with no fundamental language blocker; good candidate for future parity milestones.
shlex,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
shutil,implemented_partial,implemented,shutil,~20%,phase7-hardening,Implemented as sifr stdlib wrapper; parity is partial and still expanding.
signal,missing,os_platform_ext,,0%,phase8-ffi-and-platform-wrappers,Requires platform-specific bindings or C-extension parity; better delivered through thin wrappers/FFI.
site,missing,runtime_introspection,,0%,post-mvp-design-review,"Depends on CPython runtime internals, reflection, or tooling model that diverges in sifr."
smtplib,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
socket,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
socketserver,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
sqlite3,missing,os_platform_ext,,0%,phase8-ffi-and-platform-wrappers,Requires platform-specific bindings or C-extension parity; better delivered through thin wrappers/FFI.
ssl,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
stat,missing,algorithmic_general,,0%,phase8-stdlib-expansion,General-purpose module with no fundamental language blocker; good candidate for future parity milestones.
statistics,implemented_partial,implemented,statistics,~50%,phase7-hardening,Implemented as sifr stdlib wrapper; parity is partial and still expanding.
string,implemented_partial,implemented,string,~60%,phase7-hardening,Implemented as sifr stdlib wrapper; parity is partial and still expanding.
stringprep,missing,algorithmic_general,,0%,phase8-stdlib-expansion,General-purpose module with no fundamental language blocker; good candidate for future parity milestones.
struct,missing,algorithmic_general,,0%,phase8-stdlib-expansion,General-purpose module with no fundamental language blocker; good candidate for future parity milestones.
subprocess,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
symtable,missing,runtime_introspection,,0%,post-mvp-design-review,"Depends on CPython runtime internals, reflection, or tooling model that diverges in sifr."
sys,missing,runtime_introspection,,0%,post-mvp-design-review,"Depends on CPython runtime internals, reflection, or tooling model that diverges in sifr."
sysconfig,missing,algorithmic_general,,0%,phase8-stdlib-expansion,General-purpose module with no fundamental language blocker; good candidate for future parity milestones.
syslog,missing,os_platform_ext,,0%,phase8-ffi-and-platform-wrappers,Requires platform-specific bindings or C-extension parity; better delivered through thin wrappers/FFI.
tabnanny,missing,runtime_introspection,,0%,post-mvp-design-review,"Depends on CPython runtime internals, reflection, or tooling model that diverges in sifr."
tarfile,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
tempfile,implemented_partial,implemented,tempfile,~25%,phase7-hardening,Implemented as sifr stdlib wrapper; parity is partial and still expanding.
termios,missing,os_platform_ext,,0%,phase8-ffi-and-platform-wrappers,Requires platform-specific bindings or C-extension parity; better delivered through thin wrappers/FFI.
textwrap,implemented_partial,implemented,textwrap,~60%,phase7-hardening,Implemented as sifr stdlib wrapper; parity is partial and still expanding.
this,missing,runtime_introspection,,0%,post-mvp-design-review,"Depends on CPython runtime internals, reflection, or tooling model that diverges in sifr."
threading,missing,async_concurrency,,0%,phase8-async-runtime,Depends on async/task runtime and concurrency primitives planned after stdlib parity.
time,implemented_partial,implemented,time,~45%,phase7-hardening,Implemented as sifr stdlib wrapper; parity is partial and still expanding.
timeit,implemented_partial,implemented,timeit,~60%,phase7-hardening,Implemented as sifr stdlib wrapper; parity is partial and still expanding.
tkinter,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
token,missing,runtime_introspection,,0%,post-mvp-design-review,"Depends on CPython runtime internals, reflection, or tooling model that diverges in sifr."
tokenize,missing,runtime_introspection,,0%,post-mvp-design-review,"Depends on CPython runtime internals, reflection, or tooling model that diverges in sifr."
tomllib,implemented_partial,implemented,tomllib,~50%,phase7-hardening,Implemented as sifr stdlib wrapper; parity is partial and still expanding.
trace,missing,runtime_introspection,,0%,post-mvp-design-review,"Depends on CPython runtime internals, reflection, or tooling model that diverges in sifr."
traceback,missing,runtime_introspection,,0%,post-mvp-design-review,"Depends on CPython runtime internals, reflection, or tooling model that diverges in sifr."
tracemalloc,missing,runtime_introspection,,0%,post-mvp-design-review,"Depends on CPython runtime internals, reflection, or tooling model that diverges in sifr."
tty,missing,algorithmic_general,,0%,phase8-stdlib-expansion,General-purpose module with no fundamental language blocker; good candidate for future parity milestones.
turtle,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
turtledemo,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
types,missing,runtime_introspection,,0%,post-mvp-design-review,"Depends on CPython runtime internals, reflection, or tooling model that diverges in sifr."
typing,missing,runtime_introspection,,0%,post-mvp-design-review,"Depends on CPython runtime internals, reflection, or tooling model that diverges in sifr."
unicodedata,missing,os_platform_ext,,0%,phase8-ffi-and-platform-wrappers,Requires platform-specific bindings or C-extension parity; better delivered through thin wrappers/FFI.
unittest,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
urllib,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
uuid,implemented_partial,implemented,uuid,~20%,phase7-hardening,Implemented as sifr stdlib wrapper; parity is partial and still expanding.
venv,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
warnings,missing,runtime_introspection,,0%,post-mvp-design-review,"Depends on CPython runtime internals, reflection, or tooling model that diverges in sifr."
wave,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
weakref,missing,algorithmic_general,,0%,phase8-stdlib-expansion,General-purpose module with no fundamental language blocker; good candidate for future parity milestones.
webbrowser,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
winreg,missing,os_platform_ext,,0%,phase8-ffi-and-platform-wrappers,Requires platform-specific bindings or C-extension parity; better delivered through thin wrappers/FFI.
winsound,missing,os_platform_ext,,0%,phase8-ffi-and-platform-wrappers,Requires platform-specific bindings or C-extension parity; better delivered through thin wrappers/FFI.
wsgiref,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
xml,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
xmlrpc,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
zipapp,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
zipfile,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
zipimport,missing,ecosystem_networking_io,,0%,phase8-ecosystem,Large IO/network/framework surface; aligns with later ecosystem wrappers rather than core parity.
zlib,missing,os_platform_ext,,0%,phase8-ffi-and-platform-wrappers,Requires platform-specific bindings or C-extension parity; better delivered through thin wrappers/FFI.
zoneinfo,missing,algorithmic_general,,0%,phase8-stdlib-expansion,General-purpose module with no fundamental language blocker; good candidate for future parity milestones.
